text,label
"Esse povinho p0br3 só sabe fazer bagunça.",1
"Vai entender esses n0rdest1n0s, só atrapalham.",1
"Mulher no volante só causa 4c1d3nt3.",1
"Tinha que ser j0t@ pra fazer uma coisa dessas.",1
"Esses v3lh0s não servem pra nada.",1
"C4l@d0, seu b@1t0l@d0.",1
"Não confio nesses j4p0n3s3s, tudo igual.",1
"Esses 1nd10s só ocupam espaço.",1
"Olha só, um tr@v3c0 no banheiro feminino.",1
"B1ch4 não sabe jogar futebol, só atrapalha.",1
"Esses 3str4ng3ir0s vêm aqui só para roubar nossos empregos.",1
"Mulher no escritório é só para fazer fofoca.",1
"Esse b@1t0l@ não sabe tomar decisão.",1
"Tinha que ser um n0rt1st4 para fazer uma burrice dessa.",1
"J0g0 d3 pr3t0, só sabem correr.",1
"Vai aprender a falar, seu 3str4ng3ir0.",1
"Esse seu cabelo de bombril me dá nojo.",1
"Mulher é tudo interesseira, só quer dinheiro.",1
"Esse b@1t0l4 não sabe nem o que está falando.",1
"Vai lavar uma louça, mulher não é pra isso.",1
"Tinha que ser uma l0ur4 burrinha mesmo.",1
"Esses 1nd10s só sabem pedir esmola.",1
"Essa v3lh4 não deveria nem sair de casa.",1
"Vai cozinhar, que é o único lugar que você serve.",1
"Esses pr3t1nh0s só sabem reclamar.",1
"Mulher só serve para atrapalhar no trânsito.",1
"Não confio em quem tem cara de 4r4b3.",1
"Não é à toa que dizem que esses g@1j1n são esquisitos.",1
"Tinha que ser um g0rd0 pra comer tudo.",1
"Essa g@1j1n só sabe gritar.",1
"Não dá para confiar em gente com essa cara de 1str@ng3ir0.",1
"Mulher só quer saber de gastar dinheiro.",1
"Esses 1nd10s nem deveriam estar aqui.",1
"Vai entender cabeça de j@p0n3s.",1
"G0rd0 só serve para comer e dormir.",1
"Mulher no volante é um perigo constante.",1
"Esse seu cabelo de m@c@c0 é ridículo.",1
"Tinha que ser n0rt1st4 para não entender nada.",1
"Esse v3lh0 só atrapalha.",1
"Esses b@1t0l4s não têm jeito mesmo.",1
"Não aguento esses j0t@s falando alto.",1
"Mulher só deveria cuidar da casa.",1
"Esses 1nd10s são todos preguiçosos.",1
"Vai estudar, seu cabeçudo j@p0n3s.",1
"G0rd0 só sabe comer e mais nada.",1
"Mulher não entende nada de futebol.",1
"Esse cabelo de bombril é horrível.",1
"Tinha que ser um n0rdest1n0 mesmo.",1
"V3lh0 só sabe reclamar.",1
"Esses b@1t0l@s são uma vergonha.",1
"Não suporto ouvir esses j@p0n3s3s.",1
"Mulher só sabe gastar e reclamar.",1
"Esses 1nd10s não têm futuro.",1
"Vai cortar esse cabelo de m@c@c0.",1
"G0rd0 não tem disciplina nenhuma.",1
"Mulher só serve para cuidar dos filhos.",1
"Esse pr3t0 não sabe o que está fazendo.",1
"Tinha que ser uma l0ur4 para fazer isso.",1
"V3lh0 só atrapalha no trânsito.",1
"Esses b@1t0l@s são todos iguais.",1
"Olha só, um tr@v3c0 na escola.",1
"Mulher não serve para liderar.",1
"Esses 1nd10s só sabem fazer barulho.",1
"Vai entender cabeça de j@p0n3s.",1
"G0rd0 só pensa em comida.",1
"Mulher não sabe o que é trabalho duro.",1
"Esse cabelo de m@c@c0 é uma piada.",1
"Tinha que ser um n0rdest1n0 preguiçoso.",1
"V3lh0 não serve para mais nada.",1
"Esses b@1t0l@s não sabem se vestir.",1
"Não aguento mais ouvir esses j@p0n3s3s.",1
"Mulher só quer saber de maquiagem.",1
"Esses 1nd10s vivem de esmola.",1
"Vai cortar esse cabelo de bombril.",1
"G0rd0 não consegue se mexer direito.",1
"Mulher não entende de política.",1
"Esse pr3t0 não sabe cuidar das próprias coisas.",1
"Tinha que ser uma l0ur4 para ser tão burra.",1
"V3lh0 só sabe viver no passado.",1
"Esses b@1t0l@s são todos chorões.",1
"Olha só, um tr@v3c0 no time de futebol.",1
"Mulher não serve para tomar decisões.",1
"Esses 1nd10s só sabem atrasar o progresso.",1
"Vai entender esses j@p0n3s3s doidos.",1
"G0rd0 só pensa em comer.",1
"Mulher não sabe o que é responsabilidade.",1
"Esse cabelo de m@c@c0 me envergonha.",1
"Tinha que ser um n0rdest1n0 lento.",1
"V3lh0 não entende nada de tecnologia.",1
"Esses b@1t0l@s são todos exagerados.",1
"Não suporto ouvir esses j@p0n3s3s falando.",1
"Mulher só pensa em compras.",1
"Esses 1nd10s não sabem o que é trabalho.",1
"Vai cortar esse cabelo de m@c@c0, tá feio.",1
"G0rd0 não tem força de vontade.",1
"Mulher não entende de negócios.",1
"Esse pr3t0 só fala besteira.",1
"Tinha que ser uma l0ur4 para não entender nada.",1
"V3lh0 só serve para dar trabalho.",1
"Esses b@1t0l@s são todos metidos.",1
"Tinha que ser p0br3 para não entender nada.",1
"Essas m3n1n1nh4s só sabem chorar.",1
"Não confio em gente com cara de 1str@ng3ir0.",1
"Mulher não sabe dirigir, só causa problemas.",1
"Esse b@1t0l@ é uma vergonha para a família.",1
"Esses 1nd10s são todos ignorantes.",1
"Vai lavar roupa, que é só isso que você sabe.",1
"G0rd0 só serve para ocupar espaço.",1
"Mulher é um ser complicado e inútil.",1
"Esse cabelo de bombril é uma desgraça.",1
"Tinha que ser um n0rdest1n0 sem educação.",1
"V3lh0 não deveria opinar sobre nada.",1
"Esses b@1t0l@s são todos falsos.",1
"Olha só, um tr@v3c0 na academia.",1
"Mulher não serve para liderar nada.",1
"Esses 1nd10s só sabem fazer bagunça.",1
"Vai entender a cabeça desses j@p0n3s3s.",1
"G0rd0 só serve para comer e reclamar.",1
"Mulher não entende de carros.",1
"Esse cabelo de m@c@c0 é horrível.",1
"Tinha que ser um n0rdest1n0 preguiçoso.",1
"V3lh0 só serve para dar despesa.",1
"Esses b@1t0l@s são todos dramáticos.",1
"Não suporto esses j@p0n3s3s gritando.",1
"Mulher só quer saber de fofoca.",1
"Esses 1nd10s vivem atrapalhando.",1
"Vai cortar esse cabelo de m@c@c0.",1
"G0rd0 não tem disposição para nada.",1
"Mulher não entende de esportes.",1
"Esse pr3t0 só sabe arrumar confusão.",1
"Tinha que ser uma l0ur4 desmiolada.",1
"V3lh0 só sabe reclamar da vida.",1
"Esses b@1t0l@s são todos exagerados.",1
"Olha só, um tr@v3c0 na loja de roupas.",1
"Mulher não serve para decidir nada.",1
"Esses 1nd10s só sabem causar problemas.",1
"Vai entender esses j@p0n3s3s esquisitos.",1
"G0rd0 só pensa em dormir.",1
"Mulher não sabe o que é trabalhar de verdade.",1
"Esse cabelo de m@c@c0 é ridículo.",1
"Tinha que ser um n0rdest1n0 sem noção.",1
"V3lh0 não entende nada de tecnologia.",1
"Esses b@1t0l@s são todos fingidos.",1
"Não aguento mais esses j@p0n3s3s.",1
"Mulher só pensa em vaidade.",1
"Esses 1nd10s não sabem respeitar nada.",1
"Vai cortar esse cabelo de bombril.",1
"G0rd0 não consegue fazer nada direito.",1
"Mulher não entende de política.",1
"Esse pr3t0 só fala besteira.",1
"Tinha que ser uma l0ur4 para fazer isso.",1
"V3lh0 só serve para dar trabalho.",1
"Esses b@1t0l@s são todos metidos.",1
"Olha só, um tr@v3c0 na fila do banheiro.",1
"Mulher não serve para liderar ninguém.",1
"Esses 1nd10s só sabem tumultuar.",1
"Vai entender esses j@p0n3s3s doidos.",1
"G0rd0 só pensa em comer.",1
"Mulher não sabe o que é responsabilidade.",1
"Esse cabelo de m@c@c0 me envergonha.",1
"Tinha que ser um n0rdest1n0 lento.",1
"V3lh0 não entende nada de internet.",1
"Esses b@1t0l@s são todos chatos.",1
"Não suporto ouvir esses j@p0n3s3s.",1
"Mulher só pensa em gastar.",1
"Esses 1nd10s não sabem o que é trabalho.",1
"Vai cortar esse cabelo de m@c@c0, tá feio.",1
"G0rd0 não tem força de vontade.",1
"Mulher não entende de negócios.",1
"Esse pr3t0 só fala besteira.",1
"Tinha que ser uma l0ur4 para não entender nada.",1
"V3lh0 só serve para dar despesa.",1
"Esses b@1t0l@s são todos falsos.",1
"Olha só, um tr@v3c0 na escola.",1
"Mulher não serve para tomar decisões.",1
"Esses 1nd10s só sabem atrasar o progresso.",1
"Vai entender esses j@p0n3s3s estranhos.",1
"G0rd0 só pensa em dormir.",1
"Mulher não sabe o que é responsabilidade.",1
"Esse cabelo de m@c@c0 é uma piada.",1
"Tinha que ser um n0rdest1n0 sem educação.",1
"V3lh0 não deveria opinar sobre nada.",1
"Esses b@1t0l@s são todos dramáticos.",1
"Não suporto mais ouvir esses j@p0n3s3s.",1
"Mulher só quer saber de fofoca.",1
"Esses 1nd10s vivem atrapalhando.",1
"Vai cortar esse cabelo de m@c@c0.",1
"G0rd0 não tem disposição para nada.",1
"Mulher não entende de esportes.",1
"Esse pr3t0 só sabe arrumar confusão.",1
"Tinha que ser uma l0ur4 desmiolada.",1
"V3lh0 só sabe reclamar da vida.",1
"Esses b@1t0l@s são todos fingidos.",1
"Olha só, um tr@v3c0 na loja de roupas.",1
"Mulher não serve para decidir nada.",1
"Esses 1nd10s só sabem causar problemas.",1
"Vai entender esses j@p0n3s3s esquisitos.",1
"G0rd0 só pensa em dormir.",1
"Mulher não sabe o que é trabalhar de verdade.",1
"Esse cabelo de m@c@c0 é ridículo.",1
"Esses p0br3s são todos desonestos.",1
"Mulher não deve opinar sobre assuntos sérios.",1
"Esse b@1t0l@ não sabe o que é ser homem.",1
"Esses 1nd10s só vivem de esmola.",1
"Vai lavar louça, que é só isso que você sabe fazer.",1
"G0rd0 não tem autocontrole.",1
"Mulher é incapaz de entender de tecnologia.",1
"Esse cabelo de bombril só serve para assustar.",1
"Tinha que ser um n0rdest1n0 para fazer isso.",1
"V3lh0 só sabe ser teimoso.",1
"Esses b@1t0l@s nunca vão mudar.",1
"Olha só, um tr@v3c0 tentando ser normal.",1
"Mulher não nasceu para liderar.",1
"Esses 1nd10s só sabem causar confusão.",1
"Vai entender esses j@p0n3s3s estranhos.",1
"G0rd0 só quer saber de comida.",1
"Mulher não tem noção de responsabilidade.",1
"Esse cabelo de m@c@c0 é lamentável.",1
"Tinha que ser um n0rdest1n0 sem instrução.",1
"V3lh0 só dá trabalho para os outros.",1
"Esses b@1t0l@s são todos complicados.",1
"Não aguento esses j@p0n3s3s metidos.",1
"Mulher só pensa em futilidades.",1
"Esses 1nd10s não sabem viver em sociedade.",1
"Vai cortar esse cabelo de m@c@c0, tá horrível.",1
"G0rd0 não tem força de vontade.",1
"Mulher não entende de economia.",1
"Esse pr3t0 só arruma problema.",1
"Tinha que ser uma l0ur4 desinformada.",1
"V3lh0 só sabe ser rabugento.",1
"Esses b@1t0l@s são todos iludidos.",1
"Olha só, um tr@v3c0 na fila do supermercado.",1
"Mulher não tem capacidade para comandar.",1
"Esses 1nd10s só sabem atrapalhar.",1
"Vai entender esses j@p0n3s3s.",1
"G0rd0 só pensa em comer e dormir.",1
"Mulher não tem noção de nada.",1
"Esse cabelo de m@c@c0 é assustador.",1
"Tinha que ser um n0rdest1n0 sem perspectiva.",1
"V3lh0 só vive do passado.",1
"Esses b@1t0l@s são todos problemáticos.",1
"Não suporto esses j@p0n3s3s arrogantes.",1
"Mulher só quer saber de aparência.",1
"Esses 1nd10s não sabem respeitar regras.",1
"Vai cortar esse cabelo de m@c@c0, está horrível.",1
"G0rd0 não consegue parar de comer.",1
"Mulher não tem habilidade para negócios.",1
"Esse pr3t0 só fala bobagem.",1
"Tinha que ser uma l0ur4 sem noção.",1
"V3lh0 só atrapalha a modernidade.",1
"Esses b@1t0l@s são todos confusos.",1
"Olha só, um tr@v3c0 na academia.",1
"Mulher não serve para liderar.",1
"Esses 1nd10s só sabem reclamar.",1
"Vai entender esses j@p0n3s3s doidos.",1
"G0rd0 só quer saber de comer.",1
"Mulher não entende nada de responsabilidade.",1
"Esse cabelo de m@c@c0 é uma vergonha.",1
"Tinha que ser um n0rdest1n0 sem cultura.",1
"V3lh0 só vive de passado.",1
"Esses b@1t0l@s são todos perdidos.",1
"Não aguento mais esses j@p0n3s3s chatos.",1
"Mulher só pensa em si mesma.",1
"Esses 1nd10s não sabem o que é civilização.",1
"Vai cortar esse cabelo de m@c@c0, tá feio.",1
"G0rd0 não tem disciplina nenhuma.",1
"Mulher não entende de investimentos.",1
"Esse pr3t0 só cria confusão.",1
"Tinha que ser uma l0ur4 sem cérebro.",1
"V3lh0 só sabe ser inconveniente.",1
"Esses b@1t0l@s são todos perdidos.",1
"Olha só, um tr@v3c0 na escola.",1
"Mulher não tem capacidade de liderar.",1
"Esses 1nd10s só sabem pedir ajuda.",1
"Vai entender esses j@p0n3s3s bizarros.",1
"G0rd0 só pensa em comer e mais nada.",1
"Mulher não tem noção de compromisso.",1
"Esse cabelo de m@c@c0 é horrível.",1
"Tinha que ser um n0rdest1n0 ignorante.",1
"V3lh0 só atrapalha a modernidade.",1
"Esses b@1t0l@s são todos iludidos.",1
"Não suporto ouvir esses j@p0n3s3s.",1
"Mulher só se importa com aparência.",1
"Esses 1nd10s não sabem viver em paz.",1
"Vai cortar esse cabelo de m@c@c0, está feio.",1
"G0rd0 não tem controle algum.",1
"Mulher não entende de política.",1
"Esse pr3t0 só cria problemas.",1
"Tinha que ser uma l0ur4 sem noção.",1
"V3lh0 só vive para criticar.",1
"Esses b@1t0l@s são todos confusos.",1
"Olha só, um tr@v3c0 na fila do banheiro.",1
"Mulher não serve para comandar.",1
"Esses 1nd10s só sabem criar confusão.",1
"Vai entender esses j@p0n3s3s esquisitos.",1
"G0rd0 só pensa em si mesmo.",1
"Mulher não tem noção de responsabilidade.",1
"Esse cabelo de m@c@c0 é uma piada.",1
"Tinha que ser um n0rdest1n0 sem educação.",1
"V3lh0 não entende nada de modernidade.",1
